"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"AD630";"SOIC20R";"U$3";"";"";"";"";"";
"1";"";"C-TRIMM";"SGC3S";"C18";"Trimm capacitor";"";"";"";"";
"9";"";"C-USC0805";"C0805";"C5, C6, C7, C8, C9, C10, C11, C14, C17";"CAPACITOR, American symbol";"";"";"";"";
"1";"";"R-US_R0805";"R0805";"R11";"RESISTOR, American symbol";"";"";"";"";
"6";"";"SMA-142-0701-851/861";"J502-ND-142-0701-851/861";"AC, CARRIER, DC, FB_IN, OUT1, PREAMP";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-851";"1019325";"99F6798";
"2";".1u";"C-USC1206";"C1206";"C1, C2";"CAPACITOR, American symbol";"";"";"";"";
"3";"100k";"R-US_R0805";"R0805";"R1, R2, R18";"RESISTOR, American symbol";"";"";"";"";
"1";"100k";"TRIM_US-B64Y";"B64Y";"R4";"POTENTIOMETER";"";"";"";"";
"1";"100p";"C-USC0805";"C0805";"C15";"CAPACITOR, American symbol";"";"";"";"";
"7";"10k";"R-US_R0805";"R0805";"R9, R12, R16, R17, R19, R20, R26";"RESISTOR, American symbol";"";"";"";"";
"3";"10k";"TRIM_US-B64Y";"B64Y";"R5, R8, R24";"POTENTIOMETER";"";"";"";"";
"1";"10n";"C-USC0805";"C0805";"C12";"CAPACITOR, American symbol";"";"";"";"";
"3";"10u";"C-USC1206";"C1206";"C3, C4, C20";"CAPACITOR, American symbol";"";"";"";"";
"1";"1M";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";"";"";"";
"2";"2SAR533";"2SAR533";"SOT89-BCE";"U$6, U$11";"";"";"";"";"";
"2";"2SCR533";"2SCR533";"SOT89-BCE";"U$5, U$10";"";"";"";"";"";
"1";"40p";"C-USC0805";"C0805";"C16";"CAPACITOR, American symbol";"";"";"";"";
"3";"50k";"R-US_R0805";"R0805";"R3, R10, R13";"RESISTOR, American symbol";"";"";"";"";
"2";"51";"R-US_R2512";"R2512";"R14, R15";"RESISTOR, American symbol";"";"";"";"";
"1";"5k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";"";"";"";
"1";"5k";"TRIM_US-B64Y";"B64Y";"R23";"POTENTIOMETER";"";"";"";"";
"1";"90k";"R-US_R0805";"R0805";"R25";"RESISTOR, American symbol";"";"";"";"";
"1";"AD8429";"AD8428";"SO8";"U$1";"";"";"";"";"";
"1";"B3B-AM";"B3B-AM";"B3B-AM";"U$4";"";"";"";"";"";
"1";"BU-SMA-V";"BU-SMA-V";"BU-SMA-V";"FB_OUT";"FEMALE SMA CONNECTOR";"";"";"unknown";"unknown";
"1";"FLUXGATE_FB";"FLUXGATE_FB";"PARA_FB";"U$2";"";"";"";"";"";
"3";"LT1355SMD";"LT1355SMD";"SOIC8";"U$7, U$9, U$12";"";"";"";"";"";
"2";"OP27D";"OP27D";"SO08";"IC1, IC2";"OP AMP";"";"";"";"";
"1";"RFC1010B";"RFC1010B";"186KE";"U$8";"";"";"";"";"";
